G&Atilde;?&Acirc;&sup3;mez-Rodr&Atilde;?&Acirc;, Carlos
Libovický, Jindřich
Strope, Brian
Coecke, Bob
Grego, Tiago
Johanssen, Anders
Walker, Daniel
Madan, Sumit
Thiele, Gregor
Prettenhofer, Peter
Staubs, Robert
Astley, Philip
Carroll, Lucien
Lewis, William D.
Lazer, David
Stepanov, Evgeny
Östling, Robert
Parish, Tim
Mitsuzawa, Kensuke
van Zaanen, Menno
Buttler, David
Eckmann, Jean-Pierre
Karami, Amir
de Paiva Alves, Eduardo
Kyle, Kristopher
Olovsson, Tomas
Rinard, Martin
Nilsson, Peter
Richter, Georg
Kozhevnikov, Mikhail
Caines, Andrew
Dobnik, Simon
Hough, Julian
Joinson, Adam
Astigarraga, Aitzol
Shacham, Ron
Raybaud, Sylvain
Magdon-Ismail, Malik
Milidi&Atilde;&ordm;, Ruy
Uijlings, Jasper
S&uuml;ndermann, David
Rankel, Peter
Yaz&#x131;c&#x131;, Adnan
Sert, Enis
Bott, Oliver
Zampieri, Marcos
Schlögl, Stephan
Nickerson, Jeffrey
Kočiský, Tomáš
Maskharashvili, Aleksandre
Anastasopoulos, Antonios
Junczys-Dowmunt, Marcin
B&uuml;chse, Matthias
Ageev, Mikhail
Ziak, Hermann
Fowler, Andrew
Schabus, Dietmar
Kho, Alvin
Sistla, Prasad
Pobar, Miran
Grozev, Ivan
Lang, Alexander
Völske, Michael
Peldszus, Andreas
Burchfiel, Benjamin
Calapodescu, Ioan
Hartmann, William
Phandi, Peter
Price, Bob
Obradovi&cacute;, Ivan
Mohamed, Muhidin
Galstyan, Aram
Garc&iacute;a-Narbona, David
Wright, Jonathan
Petrov, Martin
Raz, Yishay
Ribeyre, Corentin
S&aacute;nchez-Mart&iacute;nez, Felipe
Wurfel, Mark
Dolan, Bill
Juárez, Antonio
Foulds, James
Garcia, Marcos
Phillips, Lawrence
Blunsom, Phil
Kolovratn&iacute;k, David
Neelakantan, Arvind
Roche, Mathieu
Serafini, Luciano
Conkie, Alistair
Béchet, Frederic
Varga, István
Adamson, David
Marecek, David
García Pablos, Aitor
Reschke, Kevin
Boros, Tiberiu
Bailly, Raphaël
Fitz, Hartmut
Revuelta-Mart&Atilde;&shy;nez, Alejandro
Graf, Thomas
Woliński, Marcin
Gerber, Adam
Engonopoulos, Nikolaos
Eld&eacute;n, Lars
Gelas, Hadrien
Riedl, Martin
Veber, Philippe
Diakopoulos, Nicholas
Abdul-Mageed, Muhammad
Jakubíček, Miloš
Hart, Michael
Castellucci, Giuseppe
Hughes, Mark
Choi, Edward
Tomai, Emmett
Rantanen, Esa M.
Kovář, Vojtěch
Voionmaa, Kaarlo
Bouma, Gerlof
Fette, Georg
Castillo, Julio
Torrent, Tiago
Toledo, Assaf
Rodr&iacute;quez, Horacio
Habernal, Ivan
Zarrouk, Manel
Kluegl, Peter
Bykh, Serhiy
Ginter, Thomas
Rao, Rajesh P. N.
Manterola, Iker
Huber, Torsten
Francq, Pascal
Ammar, Waleed
Schlünder, Björn
Rustamov, Samir
Sevens, Leen
Hangya, Viktor
Ouchi, Hiroki
Glass, Jim
Dei Rossi, Stefano
Marek, David
Majli&Aring;&iexcl;, Martin
Pinkwart, Niels
Huet, Gérard
Schulam, Peter
Lerner, Uri
Franco-Salvador, Marc
Fink, Clayton
Kleinbauer, Thomas
S&oslash;gaard, Anders
Goudbeek, Martijn
Ford, Michael
Ronzano, Francesco
Aamot, Elias
Wintrode, Jonathan
Johnson, Brian
Chollet, Gérard
Ettlinger, Marc
Kobayashi, Kazuki
Franconi, Enrico
Silver, David
Singh, Anupam
Mogren, Olof
Varlamis, Iraklis
Wilde, Lorin
G&ouml;dde, Florian
O’Donnell, Timothy J.
R&ouml;sner, Dietmar
Lotan, Amnon
Tayeb, Aharon
Vicic, Jernej
Blessing, Andre
Moulder, Brad
Eliasson, Anders
Harel, David
Fresko, Moshe
Mitsui, Matthew
Eustice, Kevin
Drewes, Frank
Durrell, Martin
Poulis, Alexandros
Laur, Sven
Sizov, Gleb
Sánchez-Vega, Fernando
LoBue, Peter
Karhila, Reima
Cirik, Volkan
Wang, Josiah
Phillips, Aaron
Minematsu, Nobuaki
Tyndall, Stephen
van Noord, Gertjan
Hender, Paul
Upal, Afzal
Putois, Ghislain
Hysom, David
Laczkó, Tibor
B&#xE4;r, Daniel
Moore, Coleman
Bart, Robert
&Sacute;ledzi&nacute;ski, Daniel
Fabbri, Renato
Pr&eacute;a, Pascal
Yoshikawa, Tomohiro
Gerv&aacute;s, Pablo
Vaswani, Ashish
Crivaro, Michael
Lampos, Vasileios
Brixtel, Romain
Gaspari, Federico
Elbassuoni, Shady
Mielens, Jason
